EXCH_ID,SEGMENT,SECURITY_ID,ISIN,INSTRUMENT,UNDERLYING_SECURITY_ID,UNDERLYING_SYMBOL,SYMBOL_NAME,DISPLAY_NAME,INSTRUMENT_TYPE,SERIES,LOT_SIZE,SM_EXPIRY_DATE,STRIKE_PRICE,OPTION_TYPE,TICK_SIZE,EXPIRY_FLAG,BRACKET_FLAG,COVER_FLAG,ASM_GSM_FLAG,ASM_GSM_CATEGORY,BUY_SELL_INDICATOR,BUY_CO_MIN_MARGIN_PER,SELL_CO_MIN_MARGIN_PER,BUY_CO_SL_RANGE_MAX_PERC,SELL_CO_SL_RANGE_MAX_PERC,BUY_CO_SL_RANGE_MIN_PERC,SELL_CO_SL_RANGE_MIN_PERC,BUY_BO_MIN_MARGIN_PER,SELL_BO_MIN_MARGIN_PER,BUY_BO_SL_RANGE_MAX_PERC,SELL_BO_SL_RANGE_MAX_PERC,BUY_BO_SL_RANGE_MIN_PERC,SELL_BO_SL_MIN_RANGE,BUY_BO_PROFIT_RANGE_MAX_PERC,SELL_BO_PROFIT_RANGE_MAX_PERC,BUY_BO_PROFIT_RANGE_MIN_PERC,SELL_BO_PROFIT_RANGE_MIN_PERC,MTF_LEVERAGE
NSE,D,53004,NA,FUTSTK,13061,360ONE,360ONE-Aug2025-FUT,360ONE AUG FUT,FUT,NA,500,28/08/25,-0.01,XX,10,M,N,N,N,NA,A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NSE,D,53011,NA,FUTSTK,13061,360ONE,360ONE-Sep2025-FUT,360ONE SEP FUT,FUT,NA,500,30/09/25,-0.01,XX,10,M,N,N,N,NA,A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NSE,D,53012,NA,FUTSTK,13,ABB,ABB-Sep2025-FUT,ABB SEP FUT,FUT,NA,125,30/09/25,-0.01,XX,50,M,N,N,N,NA,A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NSE,D,53013,NA,FUTSTK,21614,ABCAPITAL,ABCAPITAL-Sep2025-FUT,ABCAPITAL SEP FUT,FUT,NA,3100,30/09/25,-0.01,XX,5,M,N,N,N,NA,A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NSE,D,53014,NA,FUTSTK,10217,ADANIENSOL,ADANIENSOL-Sep2025-FUT,ADANIENSOL SEP FUT,FUT,NA,675,30/09/25,-0.01,XX,5,M,N,N,N,NA,A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NSE,D,53015,NA,FUTSTK,25,ADANIENT,ADANIENT-Sep2025-FUT,ADANIENT SEP FUT,FUT,NA,300,30/09/25,-0.01,XX,10,M,N,N,N,NA,A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NSE,D,53016,NA,FUTSTK,3563,ADANIGREEN,ADANIGREEN-Sep2025-FUT,ADANIGREEN SEP FUT,FUT,NA,600,30/09/25,-0.01,XX,10,M,N,N,N,NA,A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NSE,D,53020,NA,FUTSTK,15083,ADANIPORTS,ADANIPORTS-Sep2025-FUT,ADANIPORTS SEP FUT,FUT,NA,475,30/09/25,-0.01,XX,10,M,N,N,N,NA,A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NSE,D,53021,NA,FUTSTK,11703,ALKEM,ALKEM-Sep2025-FUT,ALKEM SEP FUT,FUT,NA,125,30/09/25,-0.01,XX,10,M,N,N,N,NA,A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NSE,D,53027,NA,FUTSTK,1185,AMBER,AMBER-Jul2025-FUT,AMBER JUL FUT,FUT,NA,100,31/07/25,-0.01,XX,50,M,N,N,N,NA,A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
